編號,車位類別,車位價格,車位面積平方公尺
RPOPMLNKKHOFFBF87CA,坡道平面,1650000,26.05
RPXOMLNKKHOFFBF68CA,坡道平面,1550000,26.05
RPXOMLNKKHOFFBF68CA,坡道平面,1550000,30.91
RPWOMLLJKHOFFBF28CA,坡道平面,0,25.47
RPOPMLLJKHOFFBF57CA,坡道平面,0,
RPQUMLTKKHOFFBF56CA,坡道平面,2350000,43.64
RPRNMLMLKHOFFBF97CA,坡道機械,0,9.36
RPTPMLQLKHOFFBF78CA,坡道平面,0,34.76
RPQNMLOJLHOFFBF97CA,坡道平面,0,18.47
RPQROLMKLHOFFAF38CA,坡道平面,0,23.98
RPRROLMKLHOFFAF48CA,坡道平面,0,23.98
RPWOMLPJLHOFFBF78CA,坡道平面,0,13.16
RPWQOLMKLHOFFAF88CA,坡道平面,0,23.98
RPOROLMKLHOFFAF18CA,坡道平面,0,23.98
RPRNMLMKLHOFFCF08CA,坡道平面,0,43.62
RPXNMLMKKHOFFCF58CA,坡道平面,0,28.00
RPPQMLPKKHOFFDF48CA,坡道平面,0,
RPROMLMKLHOFFCF18CA,坡道平面,0,34.61
RPSOMLNKKHOFFDF38CA,坡道平面,0,36.31
RPTOMLLJKHOFFEF28CA,坡道平面,0,42.74
RPUQMLOKKHOFFEF98CA,坡道平面,1200000,30.58
RPSPMLSKKHOFFEF09CA,坡道平面,1300000,30.58
RPWQMLOKKHOFFEF56CA,坡道平面,1200000,30.58
RPPQMLTKKHOFFEF98CA,坡道機械,0,15.42
RPTRMLTKKHOFFEF86CA,坡道平面,0,
RPXOMLLKKHOFFGF98CA,坡道平面,0,35.69
RPWOMLLKKHOFFGF88CA,坡道平面,1800000,30.80
RPROMLMKLHOFFGF58CA,坡道平面,0,38.34
RPTOMLLKKHOFFHF68CA,升降機械,0,
RPVPMLOKKHOFFHF66CA,坡道平面,0,48.56
RPQNMLLKKHOFFIF38CA,坡道平面,0,24.81
RPTNMLPKKHOFFIF09CA,坡道平面,0,39.02
RPWNMLLKKHOFFHF88CA,坡道平面,1800000,27.28
RPROMLPKKHOFFIF98CA,坡道平面,0,30.07
RPXSMLTKKHOFFIF77CA,坡道平面,1400000,36.82
RPOOMLTKKHOFFIF09CA,坡道平面,1400000,36.82
RPPOMLLKKHOFFHF28CA,坡道平面,0,
RPPNMLRKKHOFFIF88CA,坡道平面,0,39.02
RPTWMLTKKHOFFIF77CA,坡道平面,1300000,36.82
RPRRMLKLKHOFFIF88CA,坡道機械,0,10.79
RPROMLNLKHOFFIF88CA,坡道平面,1400000,36.82
RPVOMLNLKHOFFIF66CA,坡道平面,1400000,36.82
RPOOMLLJKHOFFDF77DA,坡道機械,600000,
RPTOMLNLKHOFFIF09CA,坡道平面,1400000,36.82
RPPNMLRKKHOFFCF38DA,坡道平面,2500000,30.37
RPWOMLLJKHOFFEF68DA,坡道平面,1080000,27.17
RPPPMLNLKHOFFIF78CA,坡道平面,1400000,36.82
RPPPMLNLKHOFFIF78CA,坡道平面,1400000,36.82
RPWPMLLKKHOFFDF78DA,坡道平面,1700000,
RPWNMLLKKHOFFIF09DA,坡道平面,0,37.36
RPUNMLMKKHOFFGF78DA,塔式車位,1300000,11.38
RPSOMLQJLHOFFEF98EA,坡道平面,0,17.73
